ubuntu@Ubuntu-noble-latest-amd64-base:~/critsend$ pm2 logs critsend-worker --lines 500 --nostream | awk '/2026-05-04 07:35/,/2026-05-04 07:36:30/'
1|critsend | 2026-05-04 07:36:13 +02:00: 2026-05-04T05:36:13.937Z [INFO] [SCHEDULE_POLL] Scheduled campaign poller stopped
1|critsend | 2026-05-04 07:36:13 +02:00: 2026-05-04T05:36:13.937Z [INFO] [FOLLOWUP_POLL] Follow-up spawner stopped
1|critsend | 2026-05-04 07:36:13 +02:00: 2026-05-04T05:36:13.937Z [INFO] [SHUTDOWN] All background workers stopped
1|critsend | 2026-05-04 07:36:13 +02:00: 2026-05-04T05:36:13.937Z [INFO] [WORKER] Background workers stopped
1|critsend | 2026-05-04 07:36:13 +02:00: 2026-05-04T05:36:13.938Z [INFO] [BullMQ] Queues closed
1|critsend | 2026-05-04 07:36:13 +02:00: 2026-05-04T05:36:13.965Z [INFO] [BullMQ] Workers closed
1|critsend | 2026-05-04 07:36:13 +02:00: 2026-05-04T05:36:13.992Z [INFO] NotifyQueue shut down
1|critsend | 2026-05-04 07:36:14 +02:00: 2026-05-04T05:36:14.019Z [INFO] [Redis] Connections closed
1|critsend | 2026-05-04 07:36:14 +02:00: 2026-05-04T05:36:14.020Z [INFO] [IMPORT POOL] closed
1|critsend | 2026-05-04 07:36:14 +02:00: 2026-05-04T05:36:14.434Z [INFO] Processed 22 tag operations in 10 bulk groups
1|critsend | 2026-05-04 07:36:18 +02:00: 2026-05-04T05:36:18.052Z [INFO] [JOB_POLL] Campaign 16d871ea-6ec4-468f-a916-f853e0e68204 finished (3/12 active)
1|critsend | 2026-05-04 07:36:18 +02:00: 2026-05-04T05:36:18.103Z [INFO] [JOB_POLL] Campaign 5f44b29e-f663-451d-bf68-43ae5d8083ca finished (2/12 active)
1|critsend | 2026-05-04 07:36:18 +02:00: 2026-05-04T05:36:18.524Z [INFO] [JOB_POLL] Campaign 9371b026-0d02-408e-87f7-5862be83bcba finished (1/12 active)
1|critsend | 2026-05-04 07:36:18 +02:00: 2026-05-04T05:36:18.640Z [INFO] [JOB_POLL] Campaign 3c278160-be19-4c71-bfdb-03c6b1c50525 finished (0/12 active)
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.206Z [INFO] Database SSL enabled for external connection (Neon)
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.208Z [INFO] PG pool configured: max=18, min=1, idleTimeout=20000ms, connTimeout=2000ms, external=true
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.351Z [INFO] [IMPORT POOL] configured: max=6, connTimeout=15000ms, stmtTimeout=300000ms, external=true, mode=auto-derived pooler, pooler=true
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.414Z [INFO] [WORKER] Worker process starting...
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.414Z [INFO] [CONNECTION BUDGET] Limit: 50 | Process: worker | Main pool: 18 | Tracking pool: 0 (pooler) | Import pool: 6 (pooler) (concurrency: 6) | LISTEN/NOTIFY: 1 | Total direct: 19 | External: true
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.414Z [INFO] [CONNECTION BUDGET] Split-process aggregate: web(20)+worker(18)+tracking(0)+import(0)+notify(2) = 40 of 50 (headroom 10, required >= 2) OK [tracking=20, import=6 via pooler, excluded]
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.448Z [INFO] [WORKER] Process startup diagnostics {"heapLimitMB":6192,"pid":107898,"nodeVersion":"v20.20.2","processType":"worker"}
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.527Z [INFO] [Redis/bullmq] Connected
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.530Z [INFO] [Redis/main] Connected
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.730Z [INFO] [IMPORT POOL] startup probe OK (mode=auto-derived pooler)
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.733Z [INFO] [tracking_tokens] Another process is running bootstrap — skipping
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.784Z [INFO] [IMPORT] Bootstrap migration: forced_tags/forced_refs/remove_mode columns ready
1|critsend | 2026-05-04 07:36:34 +02:00: 2026-05-04T05:36:34.787Z [INFO] [BullMQ] Queues initialized: campaigns, imports, flushes
