ubuntu@Ubuntu-noble-latest-amd64-base:~/critsend$ # 1. Tout ce qui touche au bootstrap depuis le dernier reload (13:07)
pm2 logs --nostream --lines 2000 | grep -E "PRESSURE_GUARD\]|LOCK_RECOVERY|leader_acquired" | tail -50

# 2. Toutes les erreurs récentes des deux process
pm2 logs --nostream --lines 500 --err | tail -80

# 3. Confirmer l'état actuel des ticks (toujours bootstrap=deferred ?)
pm2 logs --nostream --lines 100 | grep "PRESSURE_GUARD_WORKER\] tick" | tail -5
0|critsend | 2026-05-14 15:06:30 +02:00: 2026-05-14T13:06:30.109Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:06:40 +02:00: 2026-05-14T13:06:40.116Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:06:50 +02:00: 2026-05-14T13:06:50.109Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:07:00 +02:00: 2026-05-14T13:07:00.110Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:07:10 +02:00: 2026-05-14T13:07:10.119Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:07:20 +02:00: 2026-05-14T13:07:20.114Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:07:30 +02:00: 2026-05-14T13:07:30.114Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:07:40 +02:00: 2026-05-14T13:07:40.113Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:07:50 +02:00: 2026-05-14T13:07:50.589Z [INFO] [PRESSURE_GUARD] Bootstrap fast-path: schema already verified, gate opened immediately (window=6h) — heavy maintenance will run in background
0|critsend | 2026-05-14 15:07:55 +02:00: 2026-05-14T13:07:55.504Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:08:00 +02:00: 2026-05-14T13:08:00.493Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:08:10 +02:00: 2026-05-14T13:08:10.498Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:08:20 +02:00: 2026-05-14T13:08:20.495Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (another node holds the lease), bootstrap=ready, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:08:30 +02:00: 2026-05-14T13:08:30.463Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:08:40 +02:00: 2026-05-14T13:08:40.464Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:08:50 +02:00: 2026-05-14T13:08:50.465Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:09:00 +02:00: 2026-05-14T13:09:00.464Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:09:10 +02:00: 2026-05-14T13:09:10.465Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:09:20 +02:00: 2026-05-14T13:09:20.465Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:09:30 +02:00: 2026-05-14T13:09:30.466Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:09:40 +02:00: 2026-05-14T13:09:40.467Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:09:50 +02:00: 2026-05-14T13:09:50.467Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:10:00 +02:00: 2026-05-14T13:10:00.468Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:10:01 +02:00: 2026-05-14T13:10:01.408Z [INFO] [PRESSURE_GUARD] Historical last_sent_at backfill skipped by design — guard auto-engages from first send onward (NULL is semantically correct, see comment)
0|critsend | 2026-05-14 15:10:10 +02:00: 2026-05-14T13:10:10.468Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=N (bootstrap=deferred), bootstrap=deferred, has_pending=?, eligible_campaigns=0, drained_calls=0, errors=0
0|critsend | 2026-05-14 15:10:16 +02:00: 2026-05-14T13:10:16.548Z [INFO] [PRESSURE_GUARD] Bootstrap recovered to 'ready' via retry probe
0|critsend | 2026-05-14 15:14:28 +02:00: 2026-05-14T13:14:28.865Z [INFO] [PRESSURE_GUARD_WORKER] tick: leader_acquired=Y, bootstrap=ready, has_pending=Y, eligible_campaigns=9, drained_calls=9, errors=0
0|critsend | 2026-05-14 14:47:02 +02:00:          FROM campaigns WHERE id = $
0|critsend | 2026-05-14 14:47:02 +02:00: 2026-05-14T12:47:02.406Z [ERROR] [TRACKING POOL] JS-level query timeout after 12000ms — connection destroyed. SQL: SELECT open_tag, click_tag, unsubscribe_tag
0|critsend | 2026-05-14 14:47:02 +02:00:          FROM campaigns WHERE id = $
0|critsend | 2026-05-14 14:47:02 +02:00: 2026-05-14T12:47:02.743Z [ERROR] [TRACKING POOL] JS-level query timeout after 12000ms — connection destroyed. SQL: SELECT open_tag, click_tag, unsubscribe_tag
0|critsend | 2026-05-14 14:47:02 +02:00:          FROM campaigns WHERE id = $
0|critsend | 2026-05-14 14:47:02 +02:00: 2026-05-14T12:47:02.812Z [ERROR] [TRACKING POOL] JS-level query timeout after 12000ms — connection destroyed. SQL: SELECT open_tag, click_tag, unsubscribe_tag
0|critsend | 2026-05-14 14:47:02 +02:00:          FROM campaigns WHERE id = $
